evaluations raw_y
1 -2609.0000000000
6 -1878.0000000000
8 -986.0000000000
17 -386.0000000000
19 -206.0000000000
20 -80.0000000000
8678 -78.0000000000
9019 -77.0000000000
10000 -1174.0000000000
evaluations raw_y
1 -147.0000000000
13 -125.0000000000
4120 -124.0000000000
7857 -123.0000000000
10000 -1252.0000000000
evaluations raw_y
1 -1663.0000000000
4 -1353.0000000000
5 46.6300000000
79 47.3100000000
144 91.8900000000
170 93.3300000000
185 106.1900000000
218 107.2700000000
385 113.0900000000
419 113.2500000000
534 114.0800000000
692 115.8000000000
1400 122.0700000000
1920 124.3500000000
4795 124.3900000000
10000 -1394.0000000000
