evaluations raw_y
1 14.6000000000
20 14.8000000000
40 15.0000000000
100 15.2000000000
354 15.4000000000
409 15.6000000000
481 15.8000000000
1291 16.0000000000
100991 14.8000000000
evaluations raw_y
1 14.2000000000
3 14.4000000000
15 14.6000000000
28 14.8000000000
45 15.0000000000
69 15.2000000000
395 15.4000000000
409 15.6000000000
412 15.8000000000
451 16.0000000000
100991 15.0000000000
evaluations raw_y
1 14.6000000000
4 14.8000000000
12 15.0000000000
22 15.2000000000
39 15.4000000000
268 15.6000000000
482 15.8000000000
749 16.0000000000
100991 14.4000000000
evaluations raw_y
1 15.2000000000
24 15.4000000000
53 15.6000000000
168 15.8000000000
306 16.0000000000
100991 15.2000000000
evaluations raw_y
1 15.4000000000
33 15.6000000000
90 15.8000000000
202 16.0000000000
100991 15.2000000000
evaluations raw_y
1 14.8000000000
5 15.0000000000
13 15.2000000000
41 15.4000000000
75 15.6000000000
290 15.8000000000
1073 16.0000000000
100991 15.2000000000
evaluations raw_y
1 14.6000000000
10 14.8000000000
42 15.0000000000
90 15.2000000000
118 15.4000000000
161 15.6000000000
310 15.8000000000
392 16.0000000000
100991 14.4000000000
evaluations raw_y
1 15.4000000000
8 15.6000000000
22 15.8000000000
73 16.0000000000
100991 14.8000000000
evaluations raw_y
1 15.2000000000
4 15.4000000000
56 15.6000000000
575 15.8000000000
870 16.0000000000
100991 14.6000000000
evaluations raw_y
1 14.8000000000
12 15.0000000000
27 15.2000000000
51 15.4000000000
117 15.6000000000
140 15.8000000000
1417 16.0000000000
100991 14.8000000000
